Word                Fre/%
is                1.513431162596835
it                0.989910458916021
be                0.9119392902827085
eu                0.8824755307069865
will                0.8372019489199017
has                0.7851013984506374
uk                0.7509665550397402
have                0.742343015651724
per                0.7132385702171695
cent                0.6992253187116432
are                0.6934762924529657
was                0.687367952053121
said                0.6597007631832358
from                0.6413757419837015
would                0.5971801026201188
but                0.5928683329261106
brexit                0.5820889086910905
this                0.5634045733503887
not                0.5368153269040057
vote                0.5256765885278181
he                0.4983687137991003
its                0.49621282895209623
leave                0.48830791784641475
we                0.4211161734644874
referendum                0.41213331991893876
more                0.4085401785072653
their                0.3894965290253963
which                0.3754832775198701
they                0.3747646492375354
mr                0.3348807795679607
remain                0.3327248947209567
us                0.33020969573278525
market                0.32661655432111186
been                0.32481998361527514
about                0.315118501803757
if                0.31188467453325097
one                0.3025425068629001
could                0.29823073716889203
markets                0.2978714230277247
european                0.29571553818072066
had                0.29463759575721865
year                0.28852925535737384
there                0.28529542808686775
were                0.27990571596935765
than                0.27990571596935765
britain                0.2737973755695129
his                0.27056354829900686
who                0.25870618164048464
all                0.24936401397013383
financial                0.24181841700561968
europe                0.23535076246460757
british                0.23247624933526884
now                0.2321169351941015
bank                0.23067967862943217
some                0.22888310792359545
people                0.22457133822958736
i                0.21846299782974257
what                0.2112767150063958
campaign                0.20876151601822443
our                0.2069649453123877
may                0.20409043218304898
last                0.1969041493597022
london                0.19438895037153084
into                0.18504678270118
economic                0.18289089785417595
down                0.18289089785417595
no                0.18001638472483725
most                0.17821981401900053
while                0.17498598674849447
other                0.17462667260732714
time                0.17390804432499243
when                0.17318941604265778
ft                0.17283010190149042
against                0.17103353119565373
years                0.16672176150164564
you                0.16636244736047834
banks                0.16600313321931098
new                0.1652845049369763
day                0.16348793423113958
week                0.1616913635253029
two                0.16061342110180088
can                0.16061342110180088
global                0.15666096554896014
such                0.15630165140779279
sterling                0.15558302312545813
only                0.15306782413728673
since                0.1527085099961194
should                0.1527085099961194
much                0.15055262514911538
investors                0.15019331100794803
says                0.1487560544432787
many                0.14767811201977665
just                0.14695948373744197
political                0.14660016959627464
how                0.14660016959627464
trading                0.14660016959627464
government                0.1462408554551073
back                0.1444442847492706
result                0.14300702818460123
country                0.14085114333759718
uk’s                0.13833594434942584
trade                0.13797663020825848
economy                0.13689868778475645
currency                0.13510211707891975
minister                0.13294623223191573
even                0.1307903473849117
first                0.130071719102577
cameron                0.12971240496140968
likely                0.12791583425557296
any                0.12611926354973627
dollar                0.12540063526740158
polls                0.1228854362792302
party                0.12216680799689553
world                0.12180749385572817
risk                0.12072955143222616
those                0.12037023729105883
friday                0.12001092314989148
before                0.11821435244405479
next                0.11785503830288745
pound                0.11713641002055278
business                0.11713641002055278
long                0.11533983931471609
prime                0.11533983931471609
very                0.11390258275004671
voters                0.11390258275004671
central                0.11174669790304267
still                0.10887218477370396
take                0.1074349282090346
them                0.10707561406786724
like                0.10599767164436523
labour                0.10491972922086323
decision                0.10456041507969588
make                0.10384178679736121
well                0.10348247265619386
thursday                0.10240453023269185
high                0.10240453023269185
whether                0.10204521609152449
term                0.09953001710335313
she                0.09917070296218577
policy                0.0984520746798511
low                0.0984520746798511
both                0.09809276053868377
see                0.09773344639751641
growth                0.09773344639751641
investment                0.0966555039740144
city                0.09593687569167972
because                0.0948589332681777
impact                0.0948589332681777
think                0.09449961912701037
euro                0.09414030498584303
rate                0.093062362562341
britain’s                0.09270304842117366
rates                0.09198442013883898
here                0.09162510599767164
union                0.0912657918565043
far                0.08875059286833292
big                0.0883912787271656
chief                0.0883912787271656
membership                0.08803196458599824
however                0.08767265044483091
where                0.08695402216249622
future                0.08659470802132889
immigration                0.08659470802132889
uncertainty                0.08659470802132889
support                0.08659470802132889
interest                0.08623539388016155
biggest                0.08623539388016155
morning                0.08587607973899421
former                0.08587607973899421
companies                0.08407950903315752
might                0.08372019489199017
being                0.08336088075082282
foreign                0.08336088075082282
crisis                0.08264225246848815
come                0.08228293832732081
her                0.08120499590381879
made                0.08084568176265144
already                0.08084568176265144
england                0.08048636762148412
around                0.07976773933914943
part                0.07904911105681475
exchange                0.07797116863331274
way                0.07761185449214539
according                0.07761185449214539
national                0.07725254035097805
international                0.07653391206864336
exit                0.07617459792747604
david                0.07617459792747604
group                0.07617459792747604
past                0.07545596964514135
prices                0.07545596964514135
less                0.07509665550397401
stay                0.07473734136280667
among                0.07473734136280667
stocks                0.07437802722163935
expected                0.07437802722163935
right                0.07437802722163935
hit                0.07294077065696997
put                0.07294077065696997
today                0.0722221423746353
countries                0.0722221423746353
further                0.07186282823346796
fall                0.07114419995113327
seen                0.07078488580996593
short                0.07078488580996593
head                0.07078488580996593
outcome                0.07042557166879859
recent                0.07006625752763126
lead                0.07006625752763126
too                0.07006625752763126
through                0.07006625752763126
point                0.06970694338646391
my                0.06970694338646391
higher                0.06970694338646391
gold                0.06970694338646391
rise                0.06934762924529658
times                0.06898831510412924
deal                0.06898831510412924
yields                0.0686290009629619
need                0.0686290009629619
capital                0.06826968682179456
public                0.06791037268062722
level                0.06791037268062722
month                0.06791037268062722
price                0.06755105853945988
own                0.06719174439829254
close                0.0668324302571252
camp                0.06647311611595787
say                0.06647311611595787
june                0.06611380197479051
get                0.06611380197479051
voted                0.06575448783362318
move                0.06575448783362318
volatility                0.06575448783362318
months                0.06575448783362318
go                0.06539517369245584
during                0.06539517369245584
yen                0.0650358595512885
case                0.06467654541012116
president                0.06467654541012116
another                0.06467654541012116
days                0.06431723126895382
want                0.06431723126895382
poll                0.06395791712778648
